iteration: 24380, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24400, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24420, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24440, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24460, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24480, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24500, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24520, loss: 0.0019, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24540, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24560, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24580, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24600, loss: 0.0023, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24620, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24640, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
iteration: 24660, loss: 0.0022, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0002, lr: 3e-05
